key,volts
5,0.65
10,0.63
15,0.76
20,1.00
25,2.36
30,0.57
35,1.14
3,1.95
8,0.83
13,1.04
18,1.49
23,2.27
28,0.75
33,0.75
1,2.06
6,0.99
11,1.32
16,1.80
21,1.87
26,2.59
31,0.48
36,3.01
4,1.09
9,0.67
14,1.56
19,0.61
24,2.97
29,1.20
34,0.57
2,1.46
7,1.09
12,1.54
17,1.40
22,2.71
27,0.46
32,1.21
0,1.07
5,0.68
10,0.62
15,0.76
20,1.01
25,2.25
30,0.56
35,1.20
3,1.95
8,0.84
13,1.06
18,1.48
23,2.28
28,0.78
33,0.71
1,2.04
6,0.97
11,1.31
16,1.80
21,1.88
26,2.58
31,0.46
36,2.84
4,1.09
9,0.64
14,1.56
19,0.61
24,2.98
29,1.17
34,0.72
2,1.42
7,1.07
12,1.46
17,1.31
22,2.72
27,0.49
32,1.14
0,1.01
5,0.66
10,0.62
15,0.76
20,0.99
25,2.25
30,0.58
35,1.12
3,1.95
8,0.84
13,1.02
18,1.48
23,2.29
28,0.81
33,0.71
1,2.05
6,0.95
11,1.29
16,1.80
21,1.87
26,2.59
31,0.44
36,2.96
4,1.09
9,0.67
14,1.54
19,0.60
24,2.97
29,1.17
34,0.66
2,1.46
7,1.06
12,1.41
17,0.94
22,2.70
27,0.46
32,1.18
0,1.03
5,0.64
10,0.63
15,0.76
20,0.98
25,2.24
30,0.56
35,1.28
3,1.95
8,0.85
13,1.06
18,1.48
23,2.27
28,0.65
33,0.75
1,2.04
6,0.93
11,1.32
16,1.80
21,1.88
26,2.59
31,0.43
36,2.93
4,1.12
9,0.65
14,1.56
19,0.61
24,2.97
29,1.13
34,0.65
2,1.47
7,1.06
12,1.45
17,1.28
22,2.70
27,0.51
32,1.16
0,0.98
5,0.67
10,0.63
15,0.76
20,1.00
25,2.22
30,0.56
35,1.08
3,1.95
8,0.84
13,1.03
18,1.48
23,2.29
28,0.70
33,0.73
1,2.03
6,0.93
11,1.32
16,1.79
21,1.86
26,2.58
31,0.45
36,2.99
4,1.10
9,0.68
14,1.54
19,0.61
24,2.97
29,1.20
34,0.69
2,1.46
7,1.09
12,1.45
17,1.38
22,2.71
27,0.49
32,1.18
0,0.97
5,0.64
10,0.60
15,1.09
20,1.01
25,1.98
30,0.49
35,0.90
3,1.90
8,0.84
13,0.96
18,1.36
23,2.07
28,0.09
33,0.35
1,1.81
6,0.93
11,1.25
16,1.74
21,1.54
26,2.62
31,0.11
36,2.71
4,1.01
9,0.48
14,1.51
19,0.57
24,2.98
29,1.03
34,0.19
2,1.36
7,1.03
12,1.62
17,1.46
22,2.85
27,0.18
32,0.58
0,0.92
5,0.53
10,0.47
15,0.64
20,0.95
25,1.64
30,0.42
35,0.71
3,1.83
8,0.83
13,1.03
18,1.39
23,2.05
28,0.03
33,0.35
1,2.18
6,0.84
11,1.21
16,1.76
21,1.75
26,2.61
31,0.10
36,2.65
4,1.13
9,0.53
14,1.61
19,0.53
24,2.98
29,0.85
34,0.14
2,1.40
7,1.04
12,1.83
17,1.41
22,2.85
27,0.11
32,0.56
0,1.22
5,0.53
10,0.48
15,0.68
20,0.91
25,1.65
30,0.43
35,0.73
3,1.83
8,0.85
13,1.05
18,1.40
23,2.05
28,0.05
33,0.35
1,1.90
6,0.91
11,1.25
16,1.77
21,1.74
26,2.61
31,0.09
36,2.57
4,1.30
9,0.55
14,1.62
19,0.53
24,2.97
29,0.81
34,0.14
2,1.40
7,1.08
12,1.90
17,1.19
22,2.83
27,0.20
32,0.60
0,1.27
5,0.54
10,0.48
15,0.72
20,0.99
25,1.96
30,0.43
35,0.69
3,1.86
8,0.85
13,1.09
18,1.42
23,2.07
28,0.09
33,0.34
1,1.95
6,0.91
11,1.26
16,1.94
21,1.89
26,2.61
31,0.08
36,2.53
4,1.32
9,0.56
14,1.69
19,0.49
24,2.97
29,0.85
34,0.14
2,1.39
7,1.09
12,1.95
17,0.71
22,2.84
27,0.17
32,0.56
0,1.30
5,0.55
10,0.53
15,1.00
20,0.98
25,2.05
30,0.43
35,0.73
3,1.84
8,0.89
13,1.16
18,1.42
23,2.06
28,0.11
33,0.34
1,1.96
6,0.97
11,1.22
16,1.94
21,1.90
26,2.61
31,0.10
36,2.62
4,1.33
9,0.58
14,1.62
19,0.53
24,2.97
29,0.88
34,0.12
2,1.39
7,1.07
12,1.88
17,0.99
22,2.84
27,0.17
32,0.56
0,1.32
5,0.57
10,0.51
15,0.94
20,1.03
25,1.76
30,0.44
35,0.70
3,1.87
8,0.87
13,1.16
18,1.42
23,2.05
28,0.11
33,0.34
1,1.95
6,1.01
11,1.21
16,1.94
21,1.92
26,2.61
31,0.06
36,2.58
4,1.29
9,0.56
14,1.63
19,0.54
24,2.98
29,0.86
34,0.18
2,1.40
7,1.07
12,1.97
17,0.72
22,2.82
27,0.27
32,0.59
0,1.31
5,0.56
10,0.53
15,0.94
20,1.02
25,1.88
30,0.42
35,0.66
3,1.84
8,0.88
13,1.19
18,1.43
23,2.07
28,0.05
33,0.34
1,1.92
6,0.93
11,1.21
16,1.92
21,1.91
26,2.62
31,0.10
36,2.62
4,1.35
9,0.57
14,1.63
19,0.56
24,2.97
29,0.77
34,0.08
2,1.40
7,1.05
12,1.95
17,0.81
22,2.83
27,0.23
32,0.57
0,1.33
5,0.57
10,0.51
15,0.87
20,1.01
25,1.75
30,0.43
35,0.71
3,1.85
8,0.88
13,1.18
18,1.43
23,2.07
28,0.04
33,0.34
1,1.88
6,0.92
11,1.28
16,1.95
21,1.92
26,2.61
31,0.14
36,2.60
4,1.35
9,0.57
14,1.63
19,0.55
24,2.98
29,0.85
34,0.17
2,1.42
7,1.06
12,1.97
17,0.68
22,2.82
27,0.22
32,0.59
0,1.33
5,0.57
10,0.51
15,0.95
20,0.99
25,1.62
30,0.43
35,0.75
3,1.84
8,0.89
13,1.16
18,1.43
23,2.09
28,0.05
33,0.33
1,1.88
6,0.98
11,1.21
16,1.91
21,1.91
26,2.61
31,0.14
36,2.66
4,1.32
9,0.58
14,1.63
19,0.57
24,2.98
29,0.85
34,0.18
2,1.41
7,1.07
12,2.04
17,1.02
22,2.82
27,0.11
32,0.56
0,1.34
5,0.56
10,0.51
15,0.93
20,0.96
25,1.73
30,0.42
35,0.72
3,1.86
8,0.87
13,1.16
18,1.43
23,2.08
28,0.07
33,0.34
1,1.86
6,1.02
11,1.23
16,1.93
21,1.93
26,2.61
31,0.11
36,2.75
4,1.35
9,0.58
14,1.63
19,0.58
24,2.98
29,0.92
34,0.22
2,1.41
7,1.07
12,2.06
17,1.13
22,2.83
27,0.21
32,0.57
0,1.33
5,0.57
10,0.50
15,0.92
20,0.96
25,1.78
30,0.43
35,0.71
3,1.85
8,0.88
13,1.16
18,1.44
23,2.08
28,0.10
33,0.36
1,1.85
6,1.01
11,1.19
16,1.91
21,1.92
26,2.61
31,0.07
36,2.69
4,1.36
9,0.57
14,1.66
19,0.53
24,2.97
29,0.77
34,0.10
2,1.43
7,1.09
12,2.02
17,1.03
22,2.82
27,0.11
32,0.56
0,1.34
5,0.56
10,0.53
15,0.94
20,0.96
25,2.02
30,0.43
35,0.73
3,1.86
8,0.87
13,1.18
18,1.44
23,2.10
28,0.05
33,0.36
1,1.84
6,0.99
11,1.29
16,1.91
21,1.96
26,2.61
31,0.08
36,2.63
4,1.35
9,0.56
14,1.65
19,0.58
24,2.98
29,0.80
34,0.21
2,1.42
7,1.09
12,2.02
17,0.72
22,2.81
27,0.16
32,0.59
0,1.34
5,0.56
10,0.51
15,0.88
20,0.95
25,1.80
30,0.42
35,0.76
3,1.85
8,0.88
13,1.17
18,1.44
23,2.09
28,0.04
33,0.36
1,1.81
6,0.93
11,1.20
16,1.93
21,1.89
26,2.61
31,0.07
36,2.63
4,1.34
9,0.56
14,1.63
19,0.58
24,2.98
29,0.81
34,0.14
2,1.41
7,1.07
12,1.98
17,1.16
22,2.81
27,0.11
32,0.58
0,1.36
5,0.58
10,0.51
15,0.94
20,0.95
25,1.86
30,0.43
35,0.72
3,1.87
8,0.89
13,1.21
18,1.44
23,2.08
28,0.10
33,0.35
1,1.81
6,0.89
11,1.22
16,1.94
21,1.97
26,2.60
31,0.06
36,2.58
4,1.32
9,0.55
14,1.63
19,0.58
24,2.98
29,0.86
34,0.19
2,1.42
7,1.08
12,1.93
17,0.73
22,2.82
27,0.12
32,0.58
0,1.34
5,0.57
10,0.52
15,0.93
20,0.97
25,1.68
30,0.43
35,0.75
3,1.85
8,0.87
13,1.18
18,1.45
23,2.08
28,0.05
33,0.34
1,1.80
6,1.03
11,1.18
16,1.95
21,1.90
26,2.61
31,0.10
36,2.61
4,1.36
9,0.54
14,1.63
19,0.56
24,2.98
29,0.84
34,0.17
2,1.42
7,1.09
12,1.87
17,1.04
22,2.81
27,0.12
32,0.55
0,1.34
5,0.57
10,0.51
15,0.89
20,0.96
25,1.85
30,0.43
35,0.72
3,1.86
8,0.89
13,1.23
18,1.45
23,2.09
28,0.06
33,0.36
1,1.79
6,0.95
11,1.28
16,1.95
21,1.97
26,2.61
31,0.12
36,2.63
4,1.35
9,0.57
14,1.64
19,0.55
24,2.98
29,0.94
34,0.17
2,1.43
7,1.10
12,1.94
17,0.69
22,2.81
27,0.11
32,0.57
0,1.37
5,0.58
10,0.49
15,0.92
20,1.11
25,1.72
30,0.42
35,0.74
3,1.85
8,0.89
13,1.17
18,1.45
23,2.10
28,0.08
33,0.34
1,1.78
6,1.03
11,1.23
16,1.97
21,1.94
26,2.61
31,0.11
36,2.69
4,1.36
9,0.56
14,1.63
19,0.56
24,2.98
29,0.64
34,0.18
2,1.42
7,1.08
12,1.97
17,1.02
22,2.82
27,0.11
32,0.58
0,1.36
5,0.58
10,0.53
15,0.94
20,1.05
25,1.82
30,0.43
35,0.72
3,1.86
8,0.89
13,1.24
18,1.44
23,2.11
28,0.04
33,0.35
1,1.77
6,1.01
11,1.27
16,1.97
21,1.97
26,2.60
31,0.07
36,2.56
4,1.35
9,0.59
14,1.65
19,0.54
24,2.98
29,0.73
34,0.18
2,1.42
7,1.08
12,1.94
17,1.10
22,2.82
27,0.11
32,0.57
0,1.37
5,0.58
10,0.50
15,0.90
20,1.04
25,1.77
30,0.43
35,0.75
3,1.86
8,0.88
13,1.19
18,1.44
23,2.09
28,0.04
33,0.34
1,1.76
6,0.98
11,1.26
16,1.97
21,1.98
26,2.60
31,0.05
36,2.64
4,1.34
9,0.59
14,1.63
19,0.55
24,2.98
29,0.91
34,0.20
2,1.43
7,1.07
12,2.02
17,0.78
22,2.82
27,0.12
32,0.59
0,1.36
5,0.58
10,0.50
15,0.95
20,0.95
25,1.91
30,0.45
35,0.77
3,1.86
8,0.87
13,1.17
18,1.45
23,2.11
28,0.06
33,0.33
1,1.77
6,1.00
11,1.26
16,1.98
21,1.97
26,2.61
31,0.09
36,2.55
4,1.35
9,0.58
