key,solenoid_time_us,voltage_V
 0 ,2200, 0.39
 5 ,3300, 1.14
10 ,3000, 1.10
15 ,2900, 0.97
20 ,3500, 1.47
25 ,3700, 2.76
30 ,4000, 2.88
35 ,3000, 1.94
 3 ,2300, 0.63
 8 ,3500, 1.80
13 ,2800, 1.38
18 ,2500, 2.87
23 ,2300, 1.66
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2600, 0.98
 6 ,3000, 1.70
11 ,3000, 1.79
16 ,2600, 1.79
21 ,2200, 1.67
26 ,4500, 2.62
31 ,4000, 2.98
36 ,3500, 2.20
 4 ,2300, 0.74
 9 ,4200, 1.90
14 ,3600, 2.34
19 ,3300, 1.54
24 ,4000, 2.99
29 ,6000, 2.23
34 ,3500, 1.87
 2 ,2900, 0.83
 7 ,3000, 1.39
12 ,2800, 1.66
17 ,2550, 0.64
22 ,2300, 1.59
27 ,5000, 2.43
32 ,4000, 2.98
 0 ,2502, 0.59
 5 ,3300, 1.11
10 ,3000, 1.07
15 ,2913, 0.94
20 ,3500, 1.42
25 ,3700, 2.67
30 ,4000, 2.88
35 ,3000, 1.98
 3 ,2484, 0.80
 8 ,3500, 1.77
13 ,2800, 1.35
18 ,2500, 2.90
23 ,2300, 1.64
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2612, 0.97
 6 ,3000, 1.65
11 ,3000, 1.82
16 ,2600, 1.73
21 ,2200, 1.68
26 ,4500, 2.54
31 ,4000, 2.98
36 ,3500, 2.16
 4 ,2429, 0.87
 9 ,4200, 1.82
14 ,3600, 2.28
19 ,3300, 1.55
24 ,4000, 2.99
29 ,6000, 2.25
34 ,3500, 1.93
 2 ,2986, 0.91
 7 ,3000, 1.37
12 ,2800, 1.67
17 ,2730, 0.70
22 ,2300, 1.59
27 ,5000, 2.36
32 ,4000, 2.97
 0 ,2709, 0.77
 5 ,3300, 1.11
10 ,3000, 1.07
15 ,2941, 0.97
20 ,3500, 1.39
25 ,3700, 2.72
30 ,4000, 2.89
35 ,3000, 1.86
 3 ,2584, 0.87
 8 ,3500, 1.75
13 ,2800, 1.34
18 ,2500, 2.90
23 ,2300, 1.63
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2628, 0.99
 6 ,3000, 1.67
11 ,3000, 1.83
16 ,2600, 1.77
21 ,2200, 1.68
26 ,4500, 2.55
31 ,4000, 2.98
36 ,3500, 2.15
 4 ,2493, 0.90
 9 ,4200, 1.86
14 ,3600, 2.35
19 ,3300, 1.47
24 ,4000, 2.99
29 ,6000, 2.40
34 ,3500, 1.84
 2 ,3029, 0.94
 7 ,3000, 1.35
12 ,2800, 1.65
17 ,2879, 0.76
22 ,2300, 1.61
27 ,5000, 2.33
32 ,4000, 2.97
 0 ,2824, 0.88
 5 ,3300, 1.10
10 ,3000, 1.07
15 ,2955, 0.99
20 ,3500, 1.52
25 ,3700, 2.67
30 ,4000, 2.88
35 ,3000, 2.01
 3 ,2649, 0.93
 8 ,3500, 1.73
13 ,2800, 1.34
18 ,2500, 2.88
23 ,2300, 1.62
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2634, 0.99
 6 ,3000, 1.66
11 ,3000, 1.82
16 ,2600, 1.73
21 ,2200, 1.66
26 ,4500, 2.54
31 ,4000, 2.98
36 ,3500, 2.16
 4 ,2542, 0.97
 9 ,4200, 1.81
14 ,3600, 2.31
19 ,3300, 1.52
24 ,4000, 2.99
29 ,6000, 2.41
34 ,3500, 1.83
 2 ,3058, 0.96
 7 ,3000, 1.35
12 ,2800, 1.66
17 ,2997, 0.83
22 ,2300, 1.57
27 ,5000, 2.36
