cal_cycle,key,solenoid_time_us,voltage_V
 0,  0 ,2822, 1.05
 0,  5 ,3231, 1.02
 0, 10 ,2962, 1.03
 0, 15 ,2990, 1.03
 0, 20 ,3286, 1.00
 0, 25 ,3172, 1.13
 0, 30 ,3009, 1.17
 0, 35 ,2729, 1.08
 0,  3 ,2710, 0.99
 0,  8 ,3102, 1.06
 0, 13 ,2606, 1.04
 0, 18 ,1917, 0.90
 0, 23 ,2179, 0.99
 0, 28 ,4222, 1.16
 0, 33 ,3069, 1.27
 0,  1 ,2618, 1.03
 0,  6 ,2419, 1.04
 0, 11 ,2481, 1.01
 0, 16 ,2227, 1.00
 0, 21 ,1994, 1.01
 0, 26 ,3641, 1.12
 0, 31 ,3242, 1.34
 0, 36 ,3004, 1.12
 0,  4 ,2499, 1.03
 0,  9 ,3581, 1.06
 0, 14 ,2993, 1.04
 0, 19 ,3066, 1.07
 0, 24 ,2669, 1.31
 0, 29 ,4817, 1.48
 0, 34 ,3428, 1.00
 0,  2 ,3009, 0.99
 0,  7 ,2674, 1.04
 0, 12 ,2309, 1.00
 0, 17 ,2854, 0.97
 0, 22 ,2174, 0.96
 0, 27 ,4149, 1.15
 0, 32 ,2618, 1.13
 1,  0 ,2786, 0.98
 1,  5 ,3226, 1.01
 1, 10 ,2956, 1.00
 1, 15 ,2984, 0.98
 1, 20 ,3286, 1.02
 1, 25 ,3151, 0.99
 1, 30 ,2983, 1.15
 1, 35 ,2718, 1.10
 1,  3 ,2713, 0.98
 1,  8 ,3087, 0.97
 1, 13 ,2598, 1.04
 1, 18 ,1935, 1.09
 1, 23 ,2180, 1.00
 1, 28 ,4198, 1.00
 1, 33 ,3029, 1.08
 1,  1 ,2601, 0.99
 1,  6 ,2407, 1.00
 1, 11 ,2479, 1.01
 1, 16 ,2227, 1.01
 1, 21 ,1993, 0.99
 1, 26 ,3622, 1.07
 1, 31 ,3191, 1.10
 1, 36 ,2986, 1.07
 1,  4 ,2490, 1.00
 1,  9 ,3567, 0.99
 1, 14 ,2985, 1.05
 1, 19 ,3053, 1.01
 1, 24 ,2618, 0.65
 1, 29 ,4742, 1.14
 1, 34 ,3428, 1.01
 1,  2 ,3012, 1.00
 1,  7 ,2662, 1.02
 1, 12 ,2308, 1.03
 1, 17 ,2859, 0.91
 1, 22 ,2180, 1.00
 1, 27 ,4126, 1.08
 1, 32 ,2599, 0.96
 2,  0 ,2798, 0.99
 2,  5 ,3223, 1.00
 2, 10 ,2956, 1.00
 2, 15 ,2988, 0.96
 2, 20 ,3283, 0.91
 2, 25 ,3152, 0.94
 2, 30 ,2961, 1.00
 2, 35 ,2703, 1.03
 2,  3 ,2720, 1.00
 2,  8 ,3094, 0.99
 2, 13 ,2591, 1.04
 2, 18 ,1920, 0.99
