key,solenoid_time_us,voltage_V
 0 ,2200, 0.38
 5 ,3300, 1.07
10 ,3000, 1.07
15 ,2900, 0.90
20 ,3500, 1.29
25 ,3700, 2.53
30 ,4000, 2.89
35 ,3000, 1.87
 3 ,2300, 0.64
 8 ,3500, 1.80
13 ,2800, 1.33
18 ,2500, 2.94
23 ,2300, 1.67
28 ,5000, 2.64
33 ,4000, 3.04
 1 ,2600, 0.93
 6 ,3000, 1.65
11 ,3000, 1.80
16 ,2600, 1.77
21 ,2200, 1.68
26 ,4500, 2.60
31 ,4000, 2.98
36 ,3500, 2.16
 4 ,2300, 0.73
 9 ,4200, 1.87
14 ,3600, 2.26
19 ,3300, 1.61
24 ,4000, 3.00
29 ,6000, 2.39
34 ,3500, 1.85
 2 ,2900, 0.84
 7 ,3000, 1.38
12 ,2800, 1.65
17 ,2550, 0.59
22 ,2300, 1.45
27 ,5000, 2.34
32 ,4000, 2.97
 0 ,2200, 0.37
 5 ,3300, 1.09
10 ,3000, 1.07
15 ,2900, 0.94
20 ,3500, 1.46
25 ,3700, 2.58
30 ,4000, 2.89
35 ,3000, 2.00
 3 ,2300, 0.64
 8 ,3500, 1.75
13 ,2800, 1.33
18 ,2500, 2.90
23 ,2300, 1.65
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2600, 0.95
 6 ,3000, 1.63
11 ,3000, 1.84
16 ,2600, 1.79
21 ,2200, 1.68
26 ,4500, 2.54
31 ,4000, 2.99
36 ,3500, 2.17
 4 ,2300, 0.75
 9 ,4200, 1.85
14 ,3600, 2.24
19 ,3300, 1.53
24 ,4000, 2.99
29 ,6000, 2.40
34 ,3500, 1.84
 2 ,2900, 0.84
 7 ,3000, 1.36
12 ,2800, 1.64
17 ,2550, 0.59
22 ,2300, 1.59
27 ,5000, 2.33
32 ,4000, 2.97
 0 ,2200, 0.36
 5 ,3300, 1.09
10 ,3000, 1.06
15 ,2900, 0.94
20 ,3500, 1.51
25 ,3700, 2.59
30 ,4000, 2.89
35 ,3000, 2.08
 3 ,2300, 0.63
 8 ,3500, 1.75
13 ,2800, 1.32
18 ,2500, 2.91
23 ,2300, 1.63
28 ,5000, 2.63
33 ,4000, 3.03
 1 ,2600, 0.95
 6 ,3000, 1.65
11 ,3000, 1.83
16 ,2600, 1.78
21 ,2200, 1.67
26 ,4500, 2.59
31 ,4000, 2.98
36 ,3500, 2.16
 4 ,2300, 0.70
 9 ,4200, 1.81
14 ,3600, 2.29
19 ,3300, 1.53
24 ,4000, 2.99
29 ,6000, 2.38
34 ,3500, 1.84
 2 ,2900, 0.83
 7 ,3000, 1.37
12 ,2800, 1.64
17 ,2550, 0.61
22 ,2300, 1.58
27 ,5000, 2.34
32 ,4000, 2.97
 0 ,2200, 0.37
 5 ,3300, 1.09
