cal_cycle,key,solenoid_time_us,voltage_V,,,,
0,0,2822,1.07,,,,
0,1,2618,1.03,,,,
0,2,3009,1.02,,,,
0,3,2710,1,,,,
0,4,2499,1.02,,,,
0,5,3231,1.03,,,,
0,6,2419,1.02,,,,
0,7,2674,1.05,,,,
0,8,3102,1.01,,,,
0,9,3581,1.05,,,,
0,10,2962,1.04,,,,
0,11,2481,1.09,,,,
0,12,2309,0.95,,,,
0,13,2606,1.06,,,,
0,14,2993,1.05,,,,
0,15,2990,1.03,,,,
0,16,2227,0.97,,,,
0,17,2854,0.97,,,,
0,18,1917,0.81,,,,
0,19,3066,1.02,,,,
0,20,3286,1.08,,,,
0,21,1994,1.01,,,,
0,22,2174,1.02,,,,
0,23,2179,0.7,,,,
0,24,2669,2.03,,,,
0,25,3172,0.66,,,,things still converge to 1 V fairly well.
0,26,3641,1.18,,,,
0,27,4149,1.19,,,,
0,28,4222,1.14,,,,
0,29,4817,1.42,,,,
0,30,3009,1.19,,,,
0,31,3242,1.34,,,,
0,32,2618,1.15,,,,
0,33,3069,1.2,,,,
0,34,3428,1.03,,,,
0,35,2729,1.29,,,,
0,36,3004,1.13,,,,
1,0,2771,1.03,,,,
1,1,2599,0.92,,,,
1,2,3002,1,,,,
1,3,2710,0.98,,,,
1,4,2492,1.04,,,,
1,5,3222,1.04,,,,
1,6,2412,1.01,,,,
1,7,2661,1.01,,,,
1,8,3099,0.99,,,,
1,9,3568,0.95,,,,
1,10,2954,0.96,,,,
1,11,2462,1.04,,,,
1,12,2320,1.14,,,,
1,13,2593,0.99,,,,
1,14,2982,1.01,,,,
1,15,2985,0.97,,,,
1,16,2233,0.97,,,,
1,17,2858,0.95,,,,
1,18,1951,1.06,,,,
1,19,3063,0.98,,,,
1,20,3272,0.97,,,,
1,21,1992,0.99,,,,
1,22,2171,0.9,,,,
1,23,2230,0.83,,,,
1,24,2497,1.48,,,,
1,25,3227,0.75,,,,
1,26,3613,0.98,,,,
1,27,4119,1.01,,,,
1,28,4201,0.84,,,,
1,29,4752,1.19,,,,
1,30,2980,1.11,,,,
1,31,3191,1.16,,,,
1,32,2596,0.91,,,,
1,33,3039,1.32,,,,
1,34,3424,0.83,,,,
1,35,2686,0.83,,,,
1,36,2985,0.99,,,,
2,0,2748,1.01,,,,
2,1,2642,0.94,,,,
2,2,3001,0.99,,,,
2,3,2718,0.98,,,,
2,4,2478,0.99,,,,
2,5,3209,1.02,,,,
2,6,2409,1,,,,
2,7,2659,0.98,,,,
2,8,3100,0.97,,,,
2,9,3580,0.97,,,,
2,10,2962,0.96,,,,
2,11,2453,1.01,,,,
2,12,2289,0.73,,,,
2,13,2595,0.95,,,,
2,14,2980,1,,,,
2,15,2990,0.97,,,,
2,16,2238,1.01,,,,
2,17,2868,0.93,,,,
2,18,1940,0.98,,,,
2,19,3066,0.95,,,,
2,20,3276,0.98,,,,
2,21,1992,0.9,,,,
2,22,2188,0.93,,,,
2,23,2258,0.83,,,,
2,24,2417,1.26,,,,
2,25,3268,0.86,,,,
2,26,3615,1.03,,,,
2,27,4117,0.95,,,,
2,28,4226,0.94,,,,
2,29,4722,1.11,,,,
2,30,2963,1,,,,
2,31,3166,0.89,,,,
2,32,2609,0.87,,,,
2,33,2991,0.76,,,,
2,34,3449,0.87,,,,
2,35,2710,0.82,,,,
2,36,2986,0.94,,,,
3,0,2739,1,,,,
3,1,2674,0.99,,,,
3,2,3003,0.99,,,,
3,3,2725,0.98,,,,
3,4,2483,1,,,,
3,5,3204,1,,,,
3,6,2409,0.98,,,,
3,7,2665,0.99,,,,
3,8,3108,0.97,,,,
3,9,3588,0.96,,,,
3,10,2972,0.96,,,,
3,11,2451,1,,,,
3,12,2347,1.08,,,,
3,13,2605,0.98,,,,
3,14,2980,1,,,,
3,15,2995,0.98,,,,
3,16,2237,0.94,,,,
3,17,2880,0.91,,,,
3,18,1942,0.95,,,,
3,19,3074,0.96,,,,
3,20,3279,0.98,,,,
3,21,2009,0.97,,,,
3,22,2200,0.96,,,,
3,23,2286,0.9,,,,
3,24,2375,1.12,,,,
3,25,3291,0.86,,,,
3,26,3610,0.98,,,,
3,27,4124,1,,,,
3,28,4235,0.86,,,,
3,29,4705,1.13,,,,
3,30,2963,0.98,,,,
3,31,3182,0.92,,,,
3,32,2628,0.94,,,,
3,33,3027,0.97,,,,
3,34,3467,0.9,,,,
3,35,2735,0.98,,,,
3,36,2994,0.97,,,,
4,0,2736,1,,,,
4,1,2680,0.99,,,,
4,2,3008,1.01,,,,
4,3,2731,0.99,,,,
4,4,2483,0.98,,,,
4,5,3203,1,,,,
4,6,2413,1,,,,
4,7,2669,1,,,,
4,8,3116,0.98,,,,
4,9,3597,0.98,,,,
4,10,2981,0.97,,,,
4,11,2451,1,,,,
4,12,2329,1.07,,,,
4,13,2609,0.95,,,,
4,14,2980,1,,,,
4,15,2998,0.98,,,,
4,16,2248,1,,,,
4,17,2897,0.94,,,,
4,18,1950,1.01,,,,
4,19,3080,0.98,,,,
4,20,3282,0.92,,,,
4,21,2014,0.98,,,,
4,22,2207,1.05,,,,
4,23,2303,0.93,,,,
4,24,2356,1.07,,,,
4,25,3313,0.89,,,,
4,26,3613,0.94,,,,
4,27,4124,0.95,,,,
4,28,4257,0.99,,,,
4,29,4686,0.98,,,,
4,30,2965,0.9,,,,
4,31,3193,0.87,,,,
4,32,2637,1,,,,
4,33,3031,0.84,,,,
4,34,3481,0.91,,,,
4,35,2737,0.86,,,,
4,36,2998,0.94,,,,
5,0,2736,1.01,,,,
5,1,2684,0.99,,,,
5,2,3006,1,,,,
5,3,2734,0.99,,,,
5,4,2488,1.01,,,,
5,5,3203,1,,,,
5,6,2413,0.99,,,,
5,7,2669,1,,,,
5,8,3121,0.98,,,,
5,9,3601,0.99,,,,
5,10,2987,0.98,,,,
5,11,2451,0.98,,,,
5,12,2315,0.9,,,,
5,13,2618,0.96,,,,
5,14,2980,1.01,,,,
5,15,3002,1,,,,
5,16,2248,1.02,,,,
5,17,2907,0.94,,,,
5,18,1948,0.97,,,,
5,19,3084,0.98,,,,
5,20,3296,0.93,,,,
5,21,2017,0.99,,,,
5,22,2199,1,,,,
5,23,2314,0.93,,,,
5,24,2344,1.03,,,,
5,25,3330,0.99,,,,
5,26,3622,0.93,,,,
5,27,4131,1.01,,,,
5,28,4257,0.98,,,,
5,29,4689,0.81,,,,
5,30,2979,0.93,,,,
5,31,3213,0.87,,,,
5,32,2637,0.94,,,,
5,33,3054,1,,,,
5,34,3494,0.97,,,,
5,35,2757,0.94,,,,
5,36,3006,1,,,,
6,0,2729,0.99,,,,
6,1,2690,1.01,,,,
6,2,3006,1,,,,
6,3,2737,0.99,,,,
6,4,2486,0.98,,,,
6,5,3203,1,,,,
6,6,2415,1,,,,
6,7,2669,0.99,,,,
6,8,3126,0.99,,,,
6,9,3603,0.98,,,,
6,10,2992,0.98,,,,
6,11,2455,0.99,,,,
6,12,2337,1.1,,,,
6,13,2625,0.99,,,,
6,14,2979,1.01,,,,
6,15,3002,1,,,,
6,16,2245,0.98,,,,
6,17,2917,0.96,,,,
6,18,1953,1.02,,,,
6,19,3087,0.99,,,,
6,20,3309,0.94,,,,
6,21,2018,0.99,,,,
6,22,2199,1.06,,,,
6,23,2325,0.96,,,,
6,24,2340,1.03,,,,
6,25,3332,1.04,,,,
6,26,3633,0.99,,,,
6,27,4130,0.94,,,,
6,28,4260,0.85,,,,
6,29,4718,0.88,,,,
6,30,2989,0.9,,,,
6,31,3232,0.98,,,,
6,32,2646,1,,,,
6,33,3054,0.89,,,,
6,34,3498,1.05,,,,
6,35,2766,1.04,,,,
6,36,3006,0.96,,,,
7,0,2735,1,,,,
7,1,2684,1,,,,
7,2,3007,1.01,,,,
7,3,2740,0.99,,,,
7,4,2492,1.01,,,,
7,5,3202,1.01,,,,
7,6,2414,1,,,,
7,7,2672,1,,,,
7,8,3127,1,,,,
7,9,3607,0.99,,,,
7,10,2997,0.99,,,,
7,11,2457,1.02,,,,
7,12,2315,0.85,,,,
7,13,2626,1.04,,,,
7,14,2977,0.97,,,,
7,15,3002,0.98,,,,
7,16,2249,0.96,,,,
7,17,2923,0.97,,,,
7,18,1951,0.97,,,,
7,19,3089,0.98,,,,
7,20,3320,1,,,,
7,21,2019,0.99,,,,
7,22,2190,0.9,,,,
7,23,2332,1,,,,
7,24,2336,0.96,,,,
7,25,3327,1.05,,,,
7,26,3634,0.99,,,,
7,27,4140,1.06,,,,
7,28,4284,1.04,,,,
7,29,4736,0.82,,,,
7,30,3003,0.92,,,,
7,31,3234,0.87,,,,
7,32,2646,1.01,,,,
7,33,3069,0.8,,,,
7,34,3490,1.26,,,,
7,35,2760,1.11,,,,
7,36,3011,0.97,,,,
8,0,2736,1.01,,,,
8,1,2683,1,,,,
8,2,3004,1,,,,
8,3,2743,1,,,,
8,4,2489,0.98,,,,
8,5,3200,1,,,,
8,6,2415,1.01,,,,
8,7,2672,1,,,,
8,8,3127,0.98,,,,
8,9,3608,0.97,,,,
8,10,3000,0.98,,,,
8,11,2453,1.01,,,,
8,12,2347,1.07,,,,
8,13,2618,0.98,,,,
8,14,2982,0.99,,,,
8,15,3005,1,,,,
8,16,2256,0.99,,,,
8,17,2928,1.06,,,,
8,18,1957,1.02,,,,
8,19,3093,1,,,,
8,20,3320,1.03,,,,
8,21,2020,1.02,,,,
8,22,2207,0.95,,,,
8,23,2332,0.98,,,,
8,24,2343,1.05,,,,
8,25,3320,1.03,,,,
8,26,3636,1,,,,
8,27,4131,0.98,,,,
8,28,4279,1.07,,,,
8,29,4764,1.05,,,,
8,30,3014,0.93,,,,
8,31,3254,0.89,,,,
8,32,2646,1.01,,,,
8,33,3099,1.02,,,,
8,34,3451,0.93,,,,
8,35,2744,0.93,,,,
8,36,3015,0.99,,,,
9,0,2730,0.99,,,,
9,1,2682,0.99,,,,
9,2,3003,1,,,,
9,3,2743,1,,,,
9,4,2494,1.01,,,,
9,5,3200,1,,,,
9,6,2413,0.98,,,,
9,7,2672,1,,,,
9,8,3131,1,,,,
9,9,3616,1.03,,,,
9,10,3003,0.99,,,,
9,11,2452,0.98,,,,
9,12,2333,1.19,,,,
9,13,2621,0.99,,,,
9,14,2984,1.01,,,,
9,15,3005,0.94,,,,
9,16,2258,0.98,,,,
9,17,2917,0.97,,,,
9,18,1954,1.05,,,,
9,19,3093,1.03,,,,
9,20,3316,1.19,,,,
9,21,2018,0.99,,,,
9,22,2214,1,,,,
9,23,2335,0.99,,,,
9,24,2335,1,,,,
9,25,3316,1,,,,
9,26,3636,1,,,,
9,27,4133,0.94,,,,
9,28,4268,1.05,,,,
9,29,4757,1.01,,,,
9,30,3025,0.96,,,,
9,31,3270,0.96,,,,
9,32,2645,1,,,,
9,33,3096,0.83,,,,
9,34,3461,0.95,,,,
9,35,2754,0.99,,,,
9,36,3017,1,,,,
