key,voltage
 0, 0.55
 1, 0.68
 2, 0.68
 3, 0.42
 4, 0.55
 5, 0.41
 6, 0.51
 7, 0.54
 8, 0.59
 9, 0.52
10, 0.43
11, 0.55
12, 0.80
13, 0.75
14, 1.23
15, 0.64
16, 1.09
17, 1.20
18, 1.03
19, 0.39
20, 0.33
21, 0.91
22, 0.66
23, 0.79
24, 0.51
25, 0.89
26, 0.46
27, 0.29
28, 0.58
29, 0.64
30, 0.91
31, 1.05
32, 1.12
33, 1.41
34, 1.16
35, 1.35
36, 1.31
 0, 0.44
 1, 0.53
 2, 0.58
 3, 0.23
 4, 0.50
 5, 0.30
 6, 0.45
 7, 0.44
 8, 0.62
 9, 0.39
10, 0.32
11, 0.43
12, 0.99
13, 0.70
14, 1.31
15, 0.78
16, 1.06
17, 1.21
18, 1.08
19, 0.44
20, 0.27
21, 0.68
22, 0.75
23, 0.82
24, 0.43
25, 0.82
26, 0.38
27, 0.34
28, 0.47
29, 0.46
30, 0.65
31, 0.84
32, 0.93
33, 1.27
34, 1.03
35, 1.20
36, 1.11
36, 0.69
35, 1.30
34, 0.80
33, 1.25
32, 0.85
31, 0.86
30, 0.59
29, 0.35
28, 0.53
27, 0.28
26, 0.26
25, 0.68
24, 0.27
23, 0.70
22, 0.65
21, 0.84
20, 0.38
19, 0.36
18, 1.10
17, 0.99
16, 0.76
15, 0.63
14, 1.07
13, 0.61
12, 0.76
11, 0.32
10, 0.34
 9, 0.41
 8, 0.55
 7, 0.46
 6, 0.41
 5, 0.24
 4, 0.43
 3, 0.24
 2, 0.47
 1, 0.46
 0, 0.47
