intensity, key 0, key 1, key 2, key 3, key 4, key 5, key 6, key 7, key 8, key 9, key 10, key 11, key 12, key 13, key 14, key 15, key 16, key 17, key 18, key 19, key 20, key 21, key 22, key 23, key 24, key 25, key 26, key 27, key 28, key 29, key 30, key 31, key 32, key 33, key 34, key 35, key 36
1000, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.34, 0.00, 0.04, 0.13, 0.00, 0.00, 0.00, 0.31, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.15, 0.00, 0.11, 0.00
1100, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.04, 0.13, 0.00, 0.00, 0.00, 0.31, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.14, 0.00, 0.11, 0.00
1200, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.04, 0.15, 0.00, 0.00, 0.00, 0.30, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.14, 0.00, 0.12, 0.00
1300, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.05, 0.18, 0.00, 0.00, 0.00, 0.30, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.14, 0.00, 0.12, 0.00
1400, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.05, 0.22, 0.00, 0.00, 0.00, 0.31, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.15, 0.00, 0.13, 0.00
1500, 0.00, 0.00, 0.00, 0.04, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.00, 0.06, 0.24, 0.00, 0.00, 0.00, 0.31, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.15, 0.00, 0.13, 0.00
1600, 0.00, 0.00, 0.00, 0.12, 0.05, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.34, 0.00, 0.06, 0.25, 0.00, 0.00, 0.00, 0.31, 0.00, 0.17, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.14, 0.00, 0.14, 0.00
1700, 0.00, 0.00, 0.00, 0.18, 0.06, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.00, 0.35, 0.00, 0.05, 0.28, 0.00, 0.00, 0.00, 0.30, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.15, 0.00, 0.15, 0.00
1800, 0.00, 0.00, 0.00, 0.26, 0.12, 0.00, 0.17, 0.00, 0.00, 0.00, 0.00, 0.03, 0.09, 0.00, 0.38, 0.00, 0.04, 0.31, 0.49, 0.00, 0.00, 0.67, 0.00, 0.17, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.15, 0.00, 0.15, 0.00
1900, 0.06, 0.08, 0.00, 0.33, 0.28, 0.00, 0.26, 0.02, 0.00, 0.00, 0.00, 0.17, 0.17, 0.00, 0.40, 0.00, 0.22, 0.34, 1.00, 0.00, 0.00, 1.00, 0.17, 0.18, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.15, 0.00, 0.16, 0.00
